t_start_s,src,dst,bytes,tos
3.3174,18,2,3671,0
3.3362,15,32,77900,0
3.3505,41,36,167814,0
3.3509,24,3,171689,0
3.3633,7,22,353143,0
3.3685,35,34,374856,0
3.3695,13,15,2155824,0
3.3715,18,23,75528,0
3.3741,40,34,259792,0
3.4144,39,37,78701,0
3.4604,14,31,32694,0
3.4713,22,0,132915,0
3.4835,34,33,46793,0
3.4889,33,9,324149,0
3.4906,17,13,352599,0
3.4977,14,1,17920,0
3.5096,2,41,110295,0
3.5129,19,32,1195193,0
3.5138,23,41,1088781,0
3.5201,26,29,34776,0
3.5244,22,5,197166,0
3.5283,8,10,1159886,0
3.5454,3,14,49672,0
3.5532,32,33,7231,0
3.5606,3,10,145182,0
3.5657,24,28,342131,0
3.5773,26,29,48437,0
3.5786,20,10,11433,0
3.5887,23,34,31717,0
3.6498,39,5,3302486,0
3.6562,40,19,19708,0
3.6572,35,8,19810,0
3.6584,20,19,1054860,0
3.6799,40,5,101715,0
3.6907,0,30,764606,0
3.7149,33,38,70485,0
3.732,14,27,254067,0
3.7526,10,7,59540,0
3.7591,40,26,390984,0
3.7598,27,3,336773,0
3.7733,13,1,48094,0
3.7811,3,11,36652,0
3.784,37,11,63327,0
3.7954,9,6,122484,0
3.8056,7,15,726129,0
3.8095,28,27,169470,0
3.8113,34,14,411384,0
3.8133,23,19,108535,0
3.8183,17,40,58389,0
3.8558,37,40,34172,0
3.8599,2,33,380500,0
3.8642,25,23,328646,0
3.8648,22,23,70989,0
3.8651,31,27,262876,0
3.8652,2,21,13513,0
3.8696,40,36,2000,0
3.884,24,39,120401,0
3.9,22,31,265968,0
3.907,26,18,28469,0
3.9165,23,19,159835,0
3.9257,10,2,72439,0
3.9287,3,5,263429,0
3.9404,15,30,809865,0
3.9486,17,1,322794,0
3.9601,26,21,26279,0
3.9608,9,10,51502,0
3.9662,12,32,3967,0
3.9685,31,23,27434,0
3.9686,34,31,21990,0
3.9729,24,21,37885,0
3.9776,28,26,40664,0
4.0126,34,28,13411,0
4.0173,31,35,11744,0
4.0326,23,2,431947,0
4.0359,3,27,87460,0
4.0401,25,27,213467,0
4.0475,28,7,429320,0
4.0548,9,11,37403,0
4.0626,18,20,284571,0
4.0636,20,41,71946,0
4.0887,22,23,54173,0
4.0888,24,29,15729,0
4.0943,37,41,80616,0
4.1038,11,10,109510,0
4.1058,40,5,491312,0
4.1152,33,30,8034,0
4.138,4,32,1541025,0
4.1605,19,15,33092,0
4.1606,33,31,3642783,0
4.1731,31,4,39034,0
4.1842,0,7,605962,0
4.1939,23,15,49159,0
4.2009,10,18,60403,0
4.2052,16,17,34118,0
4.2179,11,7,224766,0
4.2198,1,4,165912,0
4.2242,10,6,179552,0
4.2453,4,35,13376,0
4.2617,12,1,105089,0
4.2637,32,21,75534,0
4.2655,28,3,121407,0
4.2664,25,41,6960,0
4.2724,2,22,31736,0
4.2729,16,28,18774,0
4.2761,8,38,268988,0
4.2898,19,23,212704,0
4.2933,0,6,71853,0
4.2936,37,35,88130,0
4.2964,16,18,393183,0
4.3048,8,6,175195,0
4.3073,14,15,255285,0
4.3129,7,31,153741,0
4.3243,18,20,11593,0
4.3317,10,7,304421,0
4.3358,26,27,29166,0
4.3598,16,40,312995,0
4.3674,5,36,1058541,0
4.3748,3,27,40340,0
4.3914,26,2,502574,0
4.396,31,35,2200779,0
4.4084,37,40,120945,0
4.4123,19,2,14664,0
4.4195,30,32,401460,0
4.4483,30,32,93178,0
4.4652,3,28,15539,0
4.4738,9,33,34328,0
4.4773,18,22,145905,0
4.4971,29,0,81384,0
4.5038,41,30,8336,0
4.5053,40,38,299033,0
4.5095,29,10,60552,0
4.5264,29,3,227333,0
4.5494,21,20,16660,0
4.5514,8,6,84115,0
4.5555,19,37,431381,0
4.5595,12,14,127154,0
4.5672,12,16,19074,0
4.5761,33,32,21500,0
4.5835,40,5,73451,0
4.607,28,3,182379,0
4.611,40,5,90519,0
4.6151,9,21,48310,0
4.6448,40,18,41975,0
4.6512,36,39,179891,0
4.6566,3,26,1157403,0
4.6588,16,17,195614,0
4.6649,4,33,465322,0
4.6871,32,11,41771,0
4.6932,34,35,30815,0
4.6936,16,5,73519,0
4.7039,36,12,103783,0
4.7234,39,5,18148,0
4.7487,24,14,159397,0
4.7601,33,35,948358,0
4.7642,22,23,74749,0
4.7872,7,9,66929,0
4.8081,30,4,41846,0
4.8142,37,40,824089,0
4.8201,0,4,76271,0
4.8211,24,27,708710,0
4.8225,13,15,738129,0
4.8524,5,40,98656,0
4.8759,6,11,1049044,0
4.8774,28,25,28939,0
4.9058,17,21,131779,0
4.9097,25,4,102482,0
4.9325,22,1,2152913,0
4.9626,39,33,100716,0
4.9772,7,12,65599,0
4.9856,26,30,46202,0
4.9891,28,17,81610,0
4.9955,11,7,64995,0
5.0061,9,11,16522,0
5.0161,41,40,28239,0
5.036,24,29,175099,0
5.0736,18,19,19434,0
5.0777,22,20,9791,0
5.0824,1,15,6357,0
5.084,20,35,82532,0
5.0893,0,11,96669,0
5.0918,32,35,73375,0
5.0983,39,2,75033,0
5.1078,31,41,1242741,0
5.1159,3,24,69866,0
5.125,34,13,246574,0
5.1431,5,23,680110,0
5.1432,26,3,700774,0
5.1467,29,25,31978,0
5.149,1,14,86782,0
5.19,3,17,68672,0
5.2007,37,39,69252,0
5.2109,17,10,105370,0
5.2135,12,14,1151520,0
5.2151,15,17,13210,0
5.2164,28,25,5047,0
5.2175,13,2,163967,0
5.2241,24,22,11935750,0
5.2271,26,28,131104,0
5.2418,17,16,455234,0
5.2482,13,36,64519,0
5.2496,16,23,73727,0
5.2568,32,3,57216,0
5.2661,2,34,80733,0
5.2762,4,33,232905,0
5.281,32,4,116515,0
5.2857,35,1,625207,0
5.3076,37,5,1769397,0
5.3163,22,32,11360,0
5.3177,40,5,386401,0
5.3178,20,10,375837,0
5.3316,35,4,61735,0
5.3636,29,16,379747,0
5.4077,4,34,3973,0
5.4337,16,41,193791,0
5.4391,29,33,72274,0
5.4532,7,33,378577,0
5.4588,10,7,612150,0
5.4663,22,23,39185,0
5.4697,37,41,168763,0
5.4722,31,37,63232,0
5.4894,41,5,125500,0
5.5147,10,6,350481,0
5.5293,19,23,215725,0
5.5575,6,11,251314,0
5.5575,20,21,10950,0
5.5587,37,14,50919,0
5.5722,26,24,18514,0
5.5827,28,11,87216,0
5.6089,38,0,412086,0
5.6092,38,20,135892,0
5.6203,34,33,417923,0
5.6286,40,5,5477291,0
5.6676,6,11,29546,0
5.6714,39,40,671131,0
5.6772,39,36,4996,0
5.6907,40,7,378959,0
5.6984,27,28,65445,0
5.7024,35,15,22157,0
5.7129,41,36,86780,0
5.7334,39,37,71804,0
5.7426,31,24,12419,0
5.7476,28,3,44481,0
5.7683,39,38,438232,0
5.7688,40,10,116950,0
5.7943,38,36,8690653,0
5.8033,19,20,279397,0
5.8296,0,8,9147,0
5.8393,21,8,359273,0
5.8563,1,12,75360,0
5.8563,26,28,48037,0
5.8816,23,2,4813463,0
5.8969,37,31,668107,0
5.9112,31,17,358941,0
5.924,4,6,762720,0
5.9274,22,11,317017,0
6.0159,37,13,66791,0
6.0297,25,0,162392,0
6.0658,7,8,6622,0
6.0864,28,24,9653,0
6.0916,10,17,63267,0
6.0922,17,1,88312,0
6.0998,25,6,322271,0
6.1007,10,0,1015991,0
6.1017,0,14,69558,0
6.1192,23,22,99148,0
6.1265,30,31,82594,0
6.1272,24,26,43314,0
6.1297,18,22,84384,0
6.1367,22,21,14197,0
6.1518,37,39,214333,0
6.1694,40,36,55332,0
6.1828,41,3,80407,0
6.1859,19,23,70735,0
6.1884,37,41,17951,0
6.2138,15,21,8385,0
6.2487,39,1,1417773,0
6.2658,4,33,20041,0
6.2895,19,41,144932,0
6.291,33,27,48220,0
6.2921,15,13,421946,0
6.2924,27,25,39293,0
6.2989,38,28,34457,0
6.3005,1,37,139912,0
6.3128,24,12,17407,0
6.3273,10,9,22192,0
6.3389,7,0,63904,0
6.3413,30,31,219911,0
6.3414,29,27,14562,0
6.3502,13,0,5045949,0
6.3615,26,28,13974,0
6.3629,35,9,279102,0
6.3962,2,20,2176370,0
6.4061,16,12,127181,0
6.4112,40,5,8498,0
6.4216,22,21,158674,0
6.4255,32,13,115799,0
6.4326,8,10,124705,0
6.4416,19,20,4766,0
6.449,41,39,554945,0
6.4662,28,37,9558,0
6.4665,40,38,70021,0
6.4681,29,9,222942,0
6.483,5,1,523903,0
6.4964,39,41,145717,0
6.5121,17,13,1403589,0
6.5442,37,39,3020964,0
6.5517,7,6,114177,0
6.5525,31,4,131407,0
6.5613,40,5,288802,0
6.5648,0,8,164101,0
6.5674,30,35,40043,0
6.5736,0,22,23546,0
6.5767,24,29,36877,0
6.5771,24,15,63194,0
6.5776,14,30,112980,0
6.5778,3,26,13697,0
6.5802,13,1,146845,0
6.5826,35,32,19696,0
6.5898,20,12,657620,0
6.5946,10,7,1542766,0
6.5995,11,8,5703,0
6.6123,2,22,499077,0
6.6372,28,27,18341,0
6.645,17,13,62219,0
6.6495,2,21,231371,0
6.6568,29,26,49693,0
6.6638,27,24,186849,0
6.6822,41,5,233261,0
6.7085,36,1,38655,0
6.7149,35,34,188101,0
6.7167,41,39,121133,0
6.7181,16,15,176666,0
6.7245,8,20,8526,0
6.7326,11,22,119584,0
6.735,2,29,5282,0
6.7449,7,36,62412,0
6.7565,37,39,48654,0
6.7568,41,37,81078,0
6.7598,34,6,663310,0
6.7654,31,32,50000000,0
6.7671,28,35,377574,0
6.7739,12,15,252767,0
6.7751,41,40,163615,0
6.7808,2,23,44275,0
6.7833,34,32,255672,0
6.8025,17,16,79856,0
6.8028,7,31,72108,0
6.8094,17,5,69953,0
6.8549,12,1,15605,0
6.8628,22,19,21239,0
6.8839,18,12,41362,0
6.889,28,26,2000,0
6.9016,11,26,1872302,0
6.9019,15,13,33995,0
6.9027,23,3,54334,0
6.9191,22,38,5283,0
6.9219,41,5,47051,0
6.952,19,6,36852,0
6.9552,8,21,492243,0
6.9718,24,34,92031,0
6.9718,20,29,9930,0
6.9785,36,39,157879,0
6.983,1,13,63190,0
6.9867,41,5,478699,0
7.0018,20,39,542052,0
7.0054,3,27,42957,0
7.0061,18,22,51857,0
7.0143,27,2,68119,0
7.0171,36,40,10422,0
7.0403,32,30,650719,0
7.0437,4,35,42546,0
7.0478,27,15,374520,0
7.0479,14,13,619688,0
7.0531,1,6,40624,0
7.0593,12,16,36766,0
7.0617,23,19,40654,0
7.0643,11,7,9492,0
7.0693,35,30,1426921,0
7.0713,19,22,89995,0
7.0772,17,15,178539,0
7.0905,10,0,22917,0
7.1018,3,24,388990,0
7.1118,35,3,3574470,0
7.1122,22,13,123925,0
7.124,13,1,1061148,0
7.1287,3,24,757430,0
7.1457,38,39,458955,0
7.1509,15,17,99201,0
7.1569,8,35,83678,0
7.1609,31,33,7336,0
7.1727,4,16,18382,0
7.1872,4,21,7629,0
7.2018,25,3,221253,0
7.2131,22,23,4266835,0
7.2167,28,5,205800,0
7.2185,39,5,2000,0
7.2209,17,1,592399,0
7.235,40,38,84823,0
7.2447,16,34,31768,0
7.2494,13,15,124966,0
7.2549,16,15,50058,0
7.2606,41,37,47671,0
7.2654,18,23,38960,0
7.273,29,27,732857,0
7.2746,5,7,480446,0
7.2846,0,12,141033,0
7.2863,27,24,4391,0
7.3375,8,10,160848,0
7.3378,9,11,100396,0
7.3505,2,23,18817,0
7.3635,38,5,50596,0
7.3866,1,12,73391,0
7.4034,24,27,144096,0
7.409,19,21,1116398,0
7.4116,33,34,43649,0
7.4121,35,5,84800,0
7.4148,29,25,2000,0
7.4359,26,28,342038,0
7.4384,6,11,13616,0
7.4445,4,30,257094,0
7.4567,41,37,20375,0
7.4573,16,1,420315,0
7.4671,18,22,30680,0
7.478,2,19,96685,0
7.5035,12,40,19293,0
7.5288,29,26,381050,0
7.5399,6,31,538557,0
7.5817,12,0,213295,0
7.5976,14,16,41541,0
7.5977,16,1,192599,0
7.6255,15,1,404934,0
7.6329,27,28,43111,0
7.6452,17,39,309708,0
7.6541,5,36,49213,0
7.6678,18,22,15293,0
7.6713,24,15,178847,0
7.7059,1,22,230316,0
7.7274,28,29,34410,0
7.7439,1,4,6859,0
7.7461,7,11,39476,0
7.7615,4,38,34426,0
7.7914,34,33,375963,0
7.8214,25,3,100713,0
7.8265,41,9,68560,0
7.829,14,8,113153,0
7.8331,8,10,216727,0
7.8525,15,30,17617,0
7.8572,17,19,5766,0
7.8756,16,15,69976,0
7.9222,30,11,45409,0
7.9239,6,0,36345,0
7.9262,11,26,147003,0
7.9555,35,34,85268,0
7.9657,39,15,133971,0
7.9733,18,2,347738,0
7.9933,4,37,2000,0
8.0025,31,35,74317,0
8.0143,24,3,34864,0
8.0181,5,37,10610,0
8.0444,37,36,166978,0
8.0515,24,27,91977,0
8.0546,35,34,223376,0
8.0632,25,28,131032,0
8.0752,11,21,114028,0
8.0763,39,36,69626,0
8.0786,38,37,58458,0
8.0846,17,1,259998,0
8.0853,36,41,35261,0
8.0864,22,27,623844,0
8.0993,32,6,62018,0
8.1421,6,21,109841,0
8.1573,29,24,100100,0
8.1719,7,10,42439,0
8.1787,18,20,13960,0
8.1856,16,17,641578,0
8.1912,29,27,35898,0
8.2166,35,30,144522,0
8.2187,16,12,778191,0
8.2389,8,6,78922,0
8.2763,5,14,96149,0
8.2972,11,5,24427,0
8.2983,28,29,10549,0
8.2999,3,6,204968,0
8.3094,0,9,95702,0
8.3175,2,19,90833,0
8.3186,8,41,21058,0
8.3474,15,11,495244,0
8.3488,27,26,19398,0
8.3708,19,1,124106,0
8.3732,13,29,20278,0
8.3873,29,5,73026,0
8.3932,11,7,14332,0
8.4266,7,8,42939,0
8.4313,2,34,386792,0
8.4408,34,25,4278950,0
8.4441,15,12,611929,0
8.4442,26,32,74257,0
8.4488,40,33,7916,0
8.467,38,7,86238,0
8.4761,10,11,273516,0
8.4871,12,17,149410,0
8.5211,33,1,19588,0
8.5325,33,35,41437,0
8.5379,29,26,69070,0
8.557,27,15,81918,0
8.5631,36,38,17062,0
8.5659,1,12,101176,0
8.5675,2,19,202275,0
8.5831,12,0,99891,0
8.5872,38,41,3581,0
8.6107,14,17,307507,0
8.6255,25,22,1783322,0
8.6285,22,2,51379,0
8.6405,10,0,55462,0
8.6597,11,8,20233,0
8.661,35,0,8586,0
8.6747,12,14,3053428,0
8.675,17,14,19068,0
8.6781,5,26,17311,0
8.6921,1,12,760901,0
8.7058,39,5,47614,0
8.7221,18,21,466362,0
8.7236,33,32,2000,0
8.7255,6,9,10748,0
8.7271,15,12,97812,0
8.7599,1,17,47538,0
8.7746,10,7,107731,0
8.7755,35,27,25960,0
8.7995,27,26,306490,0
8.808,8,38,20118,0
8.8089,41,5,307746,0
8.8158,11,8,130670,0
8.8416,16,13,3049755,0
8.854,14,13,204520,0
8.8679,18,33,301211,0
8.8827,2,41,864861,0
8.9153,34,7,161621,0
8.936,27,25,37804,0
8.9448,10,25,1047365,0
8.9611,17,10,62223,0
8.981,35,31,16987,0
8.9818,29,26,54578,0
8.9827,9,7,128302,0
8.9919,41,12,354954,0
9.008,18,22,827655,0
9.0091,20,31,158849,0
9.0136,36,24,34473,0
9.0219,34,33,140890,0
9.041,25,24,11816,0
9.0412,11,8,1693596,0
9.0436,33,4,284997,0
9.0446,21,18,433785,0
9.0625,9,7,394302,0
9.0685,8,10,172768,0
9.0804,35,34,113035,0
9.0836,32,33,122352,0
9.0879,5,37,253775,0
9.0912,31,30,165239,0
9.0962,3,20,11547,0
9.1138,2,21,41165,0
9.1195,1,17,12512,0
9.1302,5,37,464424,0
9.1315,4,6,159301,0
9.1338,29,25,288094,0
9.1395,7,15,1039020,0
9.181,35,30,50167,0
9.1903,16,17,86977,0
9.1932,40,2,142022,0
9.1972,34,4,14153,0
9.2215,39,41,148179,0
9.2272,1,16,24618243,0
9.2361,1,4,22522,0
9.2416,9,0,5674,0
9.2502,20,23,43793,0
9.258,1,12,137576,0
9.2817,24,28,59296,0
9.2827,40,10,8883,0
9.2915,32,31,403563,0
9.2972,29,13,78840,0
9.2975,8,7,1376034,0
9.3054,10,9,17365,0
9.324,2,26,52563,0
9.3241,13,15,382609,0
9.3548,21,22,4780922,0
9.3783,5,18,242139,0
9.4039,18,23,3634672,0
9.4096,32,34,29320,0
9.4342,8,5,188840,0
9.4435,34,4,2698656,0
9.4531,37,39,765741,0
9.4577,3,29,4306,0
9.4953,35,23,23133,0
9.5125,37,22,155178,0
9.5237,3,22,25780,0
9.5359,34,36,20878,0
9.5414,31,8,72094,0
9.547,41,22,34128,0
9.5527,27,26,39867,0
9.56,16,21,520097,0
9.5623,36,38,347382,0
9.5676,7,6,2285,0
9.5802,37,0,92319,0
9.6205,37,5,262298,0
9.6238,21,34,8635,0
9.625,39,40,16019,0
9.6438,25,10,102888,0
9.6474,33,31,152202,0
9.6492,29,25,67114,0
9.6517,41,25,379720,0
9.6758,22,13,984628,0
9.6761,26,24,214893,0
9.6886,34,4,77400,0
9.6956,13,11,100028,0
9.7075,11,36,65405,0
9.7149,8,22,724523,0
9.7212,41,33,156318,0
9.7274,28,18,259147,0
9.7345,22,23,290928,0
9.741,5,41,99799,0
9.7518,10,0,442915,0
9.7877,17,15,17181,0
9.8113,22,18,121107,0
9.8125,8,19,253093,0
9.8231,20,24,2158,0
9.8389,30,4,449788,0
9.8458,12,25,463191,0
9.8459,36,7,244112,0
9.8505,33,23,54587,0
9.862,21,9,5683,0
9.8698,0,26,236530,0
9.8884,14,16,488909,0
9.8895,12,8,287909,0
9.9078,1,16,6746,0
9.9093,28,3,20554,0
9.9132,22,19,935679,0
9.937,10,26,396150,0
9.9374,1,15,163047,0
9.9483,5,12,35297,0
9.9587,21,22,20819,0
9.9659,32,21,6787,0
9.9672,37,5,94411,0
10.007,12,16,22042,0
10.0163,29,13,60509,0
10.0217,39,37,309471,0
10.023,2,21,657948,0
10.0233,38,5,271551,0
10.029,40,38,69629,0
10.0478,18,10,159714,0
10.0519,13,14,234394,0
10.053,37,36,146220,0
10.0557,1,12,11931,0
10.0645,7,19,1118950,0
10.0652,34,32,1111958,0
10.072,35,25,247646,0
10.0726,29,2,190683,0
10.0731,39,36,49327,0
10.0807,35,30,351653,0
10.086,34,30,125946,0
10.0968,28,25,32270,0
10.0993,40,19,91374,0
10.1236,36,38,92343,0
10.1545,6,11,11045,0
10.1601,2,20,69788,0
10.1671,4,21,176782,0
10.1697,30,35,187972,0
10.1732,17,1,159225,0
10.1804,2,1,695730,0
10.1806,33,32,34468,0
10.1961,3,25,296596,0
10.1994,1,12,177515,0
10.2213,9,0,925735,0
10.2226,22,20,174569,0
10.2369,33,3,2250,0
10.2417,19,21,119164,0
10.2434,38,5,418616,0
10.2479,16,14,13420,0
10.2527,27,25,1095123,0
10.2574,39,19,129371,0
10.2872,4,35,54176,0
10.2947,9,32,1862377,0
10.2953,4,33,582520,0
10.315,9,10,42881,0
10.3167,38,10,68334,0
10.3303,13,12,23248,0
10.3313,4,35,482484,0
10.3506,27,3,49950,0
10.3561,26,27,837471,0
10.3568,34,32,83293,0
10.3574,0,19,18174,0
10.3652,20,19,77132,0
10.3694,36,23,18062,0
10.387,30,26,355111,0
10.3916,12,11,7129,0
10.3973,16,34,350382,0
10.3973,38,41,17224,0
10.4014,8,2,31647,0
10.4062,17,1,12175,0
10.4063,30,21,1687303,0
10.4303,36,2,126697,0
10.4382,26,24,718976,0
10.4421,15,1,540001,0
10.4441,23,2,1129661,0
10.4535,41,31,28258,0
10.4621,14,25,680779,0
10.469,5,38,147850,0
10.4717,38,5,48243,0
10.4799,20,35,4385,0
10.4873,36,40,14225,0
10.4894,26,30,1013764,0
10.4932,29,33,189358,0
10.5052,37,21,6950,0
10.5102,18,37,35617,0
10.5308,8,11,26443,0
10.5584,2,18,219990,0
10.5644,41,14,284285,0
10.5732,40,38,53465,0
10.5921,17,16,38640,0
10.6026,32,20,87517,0
10.6029,30,31,118985,0
10.6128,15,14,189987,0
10.6161,33,35,6946,0
10.6366,40,37,182630,0
10.6382,30,12,251032,0
10.6438,38,29,372775,0
10.6749,23,19,145639,0
10.6763,13,21,129647,0
10.6826,13,15,4198,0
10.6875,41,36,267404,0
10.6904,0,8,14530,0
10.7012,3,25,54176,0
10.7147,41,40,409130,0
10.7325,40,38,80399,0
10.7356,27,26,3094,0
10.752,14,13,4813,0
10.7634,39,41,5665,0
10.7694,27,26,28653,0
10.7865,40,36,134706,0
10.8125,10,6,24173,0
10.8547,26,34,82825,0
10.8669,3,24,2825274,0
10.8788,0,7,114646,0
10.9011,3,22,9199,0
10.9056,1,37,13937,0
10.9314,2,38,10484,0
10.9339,14,1,12598,0
10.9345,39,5,135243,0
10.9491,17,16,1011540,0
10.9496,9,16,403135,0
10.9624,17,30,982502,0
10.9705,16,1,5734,0
10.9785,4,31,247704,0
10.9814,16,17,26007,0
10.9865,13,0,358876,0
11.0014,9,1,1844560,0
11.0078,4,34,278407,0
11.0234,6,11,186997,0
11.0264,4,31,3648,0
11.0283,2,27,422455,0
11.0306,41,37,382197,0
11.0516,21,20,4811,0
11.0803,25,27,7428242,0
11.0931,1,14,9877,0
11.1056,36,41,543373,0
11.1176,31,4,25858,0
11.1289,6,14,158659,0
11.139,15,12,1537394,0
11.1398,32,34,56352,0
11.1429,27,10,2000,0
11.1594,25,28,47161,0
11.175,9,11,11494,0
11.1924,14,11,81139,0
11.2033,2,18,60322,0
11.2079,39,38,97706,0
11.2251,35,2,11913,0
11.2264,12,32,38462,0
11.2387,25,3,1071057,0
11.2451,5,36,1016983,0
11.2575,41,39,24900,0
11.2991,13,17,356906,0
11.3063,35,7,17365,0
11.3084,31,32,167783,0
11.3099,39,37,514769,0
11.3176,14,17,67043,0
11.3263,18,13,507936,0
11.3271,16,1,10743,0
11.3437,21,13,26439,0
11.3472,23,5,406316,0
11.3549,23,41,248907,0
11.3618,28,26,200010,0
11.3736,17,15,1118607,0
11.3784,3,28,182902,0
11.3892,40,5,1589462,0
11.4045,23,21,410008,0
11.4233,11,8,78940,0
11.4517,30,32,20761,0
11.4556,39,38,567017,0
11.4922,0,9,8027,0
11.4939,38,32,20657,0
11.4951,36,37,500088,0
11.4983,16,17,253132,0
11.5149,23,19,67940,0
11.5183,41,14,271576,0
11.5252,28,33,50531,0
11.5358,28,24,111295,0
11.5367,23,22,40574,0
11.5642,37,40,41716,0
11.576,3,31,1953802,0
11.5785,22,2,300257,0
11.5913,40,37,89772,0
11.6025,12,29,202852,0
11.648,22,18,164183,0
11.6491,27,25,1854369,0
11.6536,2,19,41520,0
11.6562,12,1,126868,0
11.6586,32,7,8266,0
11.6674,16,1,248238,0
11.6767,30,31,10032,0
11.6793,26,4,905663,0
11.7369,41,37,39774,0
11.7837,18,20,56412,0
11.8277,31,5,4463,0
11.8344,12,11,21010,0
11.8368,4,35,223545,0
11.8446,31,7,346920,0
11.8506,9,24,608919,0
11.8566,25,22,156351,0
11.8718,13,6,1293182,0
11.8768,1,17,537704,0
11.8877,41,5,41045,0
11.9076,9,6,340441,0
11.9104,27,3,264416,0
11.9202,22,2,453404,0
11.9246,34,4,4074,0
11.9332,30,37,19773,0
11.9392,33,35,346214,0
11.9458,7,9,238587,0
11.9608,10,29,90054,0
11.9633,9,8,274248,0
11.966,34,27,84000,0
11.9722,2,19,231789,0
11.9821,25,29,391456,0
11.9824,26,25,104761,0
11.9891,40,5,10171,0
11.997,32,11,539078,0
